Year,Liquor,Wine,Beer,Total Alc,Population,Total_Alc_per_person_inflation,w/o_Inflation,liq_pp_wi,wine_pp_wi,beer_pp_wi,cpi,cpi_multiplier,with_inflation
2007,182.1561,48.91691,134.2152,365.2882,1.627,330.005549,224.5164106,164.5619097,44.19209747,121.2515508,207.3,1.469850458,536.9190281
2008,193.5654,50.96305,143.3462,387.8747,1.674,327.917371,231.7053166,163.6442312,43.08522668,121.1878708,215.3,1.415234556,548.9336788
2009,191.7273,47.92193,141.6219,381.2711,1.722,314.5182843,221.4117886,158.159749,39.53177465,116.8267855,214.5,1.420512821,541.6004858
2010,210.2895,52.8986,149.7262,412.9143,1.771,325.7302938,233.1531903,165.8883226,41.7294255,118.1125457,218.1,1.397065566,576.8683502
2011,224.1174,56.86234,157.1877,438.1674,1.821,325.9966338,240.6191104,166.7433907,42.3055924,116.9476804,224.9,1.354824366,593.6398699
2012,239.3362,59.13436,170.132,468.6026,1.873,332.0224784,250.1882541,169.5786543,41.89890702,120.5448888,229.6,1.327090592,621.8781018
2013,247.558,60.8347,169.9741,478.3668,1.926,324.8039343,248.3732087,168.0881959,41.30585547,115.409883,233,1.307725322,625.5723776
2014,260.0268,65.2797,175.5433,500.8499,1.981,325.4597692,252.8268046,168.9693106,42.41972714,114.0706665,236.7,1.287283481,644.7358027
2015,272.4953,67.65555,180.5533,520.7042,2.038,328.4815711,255.4976447,171.9012143,42.67989649,113.9004288,237,1.285654008,669.4454417
2016,295.6048,70.43435,190.9443,556.9836,2.096,337.3745685,265.7364504,179.0529233,42.66330003,115.6582542,240,1.269583333,707.1370953
2017,305.9373,74.69124,198.2389,578.8674,2.156,333.7793608,268.4913729,176.4057821,43.06753903,114.3060627,245.1,1.243166055,719.628302
2018,335.5632,82.11579,208.4786,626.1576,2.217,342.7233582,282.4346414,183.6683716,44.94555254,114.1094285,251.1,1.213460773,759.8176853
2019,353.7359,81.33399,209.7622,644.8321,2.269,338.6521826,284.1921992,185.7746142,42.71489157,110.1626716,255.7,1.191630817,768.4018022
2020,203.9069,41.39936,105.4853,350.7915,2.32,178.0201894,151.2032328,103.4789753,21.00940846,53.53183611,258.8,1.177357032,413.0068393
2021,378.3876,66.48371,183.0661,627.9374,2.413,292.5918278,260.2309988,176.3123513,30.97855013,85.30093095,271,1.124354244,706.0240807
2022,467.7451,84.14364,223.01,774.8988,2.454,328.7154839,315.7696822,198.4195316,35.69410269,94.60182423,292.7,1.040997608,806.6677972
2023,491.0282,90.15228,227.9193,809.0998,2.491,324.8092332,324.8092332,197.1209153,36.19120032,91.49710959,304.7,1,809.0998
